LSOA11 Code,Public transport accessibility metric
E01001382,1
E01001383,1
E01001384,1
E01001385,0
E01001386,1
E01001387,1
E01001388,1
E01001389,0
E01001390,0
E01001391,0
E01001392,0
E01001393,0
E01001394,0
E01001395,1
E01001396,0
E01001397,1
E01001398,0
E01001399,0
E01001400,0
E01001401,0
E01001402,1
E01001403,0
E01001404,1
E01001405,0
E01001406,0
E01001407,1
E01001408,0
E01001409,1
E01001410,1
E01001411,0
E01001412,2
E01001413,3
E01001414,0
E01001415,1
E01001416,1
E01001417,5
E01001418,2
E01001419,0
E01001420,1
E01001421,3
E01001422,4
E01001423,0
E01001424,1
E01001425,0
E01001426,1
E01001427,1
E01001428,2
E01001429,0
E01001430,0
E01001431,1
E01001432,0
E01001433,1
E01001434,1
E01001435,1
E01001436,1
E01001437,1
E01001438,0
E01001439,1
E01001440,0
E01001441,1
E01001442,0
E01001444,2
E01001445,1
E01001446,1
E01001447,1
E01001448,1
E01001449,1
E01001450,1
E01001451,1
E01001452,1
E01001453,2
E01001454,0
E01001455,2
E01001456,0
E01001457,1
E01001458,1
E01001459,2
E01001460,0
E01001461,0
E01001462,1
E01001463,1
E01001464,0
E01001465,1
E01001466,0
E01001467,1
E01001468,2
E01001469,0
E01001470,1
E01001471,3
E01001472,2
E01001473,1
E01001474,1
E01001475,3
E01001476,0
E01001477,0
E01001478,0
E01001479,0
E01001480,1
E01001481,0
E01001482,0
E01001483,0
E01001484,1
E01001485,0
E01001486,1
E01001487,0
E01001488,0
E01001489,0
E01001491,0
E01001492,0
E01001493,1
E01001494,1
E01001495,1
E01001496,1
E01001497,1
E01001498,0
E01001499,0
E01001500,0
E01001501,1
E01001502,1
E01001503,1
E01001504,0
E01001505,0
E01001506,0
E01001507,0
E01001508,0
E01001509,1
E01001510,0
E01001511,0
E01001512,0
E01001513,0
E01001514,0
E01001515,0
E01001516,0
E01001517,1
E01001518,0
E01001519,0
E01001520,3
E01001521,1
E01001522,1
E01001523,0
E01001524,2
E01001525,1
E01001526,4
E01001527,0
E01001528,0
E01001529,0
E01001530,0
E01001531,1
E01001532,0
E01001533,0
E01001534,0
E01001535,0
E01001536,0
E01001537,0
E01001538,0
E01001539,0
E01001540,0
E01001541,0
E01001542,0
E01001543,0
E01001544,0
E01001545,0
E01001546,1
E01001547,0
E01001548,1
E01001549,1
E01001550,1
E01001551,3
E01001552,1
E01001553,0
E01001554,0
E01001555,0
E01001556,1
E01001557,0
E01001558,0
E01001559,1
E01001560,0
E01001562,0
E01001563,1
E01001564,1
E01001565,1
E01001566,1
E01001567,0
E01001568,3
E01001569,0
E01001570,0
E01001571,2
E01001572,2
E01001573,2
E01001574,2
E01001575,2
E01001576,2
E01001577,2
E01001578,0
E01001579,2
E01001580,0
E01001581,0
E01001582,1
E01001583,1
E01001584,1
E01001585,0
E01001586,0
E01001587,0
E01001588,0
E01001589,0
E01001590,0
